sentence,word,label
Aaj ka din bohot busy tha,Aaj,URD
Aaj ka din bohot busy tha,ka,URD
Aaj ka din bohot busy tha,din,URD
Aaj ka din bohot busy tha,bohot,URD
Aaj ka din bohot busy tha,busy,ENG
Aaj ka din bohot busy tha,tha,URD
Yaar seriously I can not even right now,Yaar,URD
Yaar seriously I can not even right now,seriously,ENG
Yaar seriously I can not even right now,I,ENG
Yaar seriously I can not even right now,can,ENG
Yaar seriously I can not even right now,not,ENG
Yaar seriously I can not even right now,even,ENG
Yaar seriously I can not even right now,right,ENG
Yaar seriously I can not even right now,now,ENG
Bhai kal mera presentation hai still not prepared at all,Bhai,URD
Bhai kal mera presentation hai still not prepared at all,kal,URD
Bhai kal mera presentation hai still not prepared at all,mera,URD
Bhai kal mera presentation hai still not prepared at all,presentation,ENG
Bhai kal mera presentation hai still not prepared at all,hai,URD
Bhai kal mera presentation hai still not prepared at all,still,ENG
Bhai kal mera presentation hai still not prepared at all,not,ENG
Bhai kal mera presentation hai still not prepared at all,prepared,ENG
Bhai kal mera presentation hai still not prepared at all,at,ENG
Bhai kal mera presentation hai still not prepared at all,all,ENG
Khana kha liya I was literally waiting for you,Khana,URD
Khana kha liya I was literally waiting for you,kha,URD
Khana kha liya I was literally waiting for you,liya,URD
Khana kha liya I was literally waiting for you,I,ENG
Khana kha liya I was literally waiting for you,was,ENG
Khana kha liya I was literally waiting for you,literally,ENG
Khana kha liya I was literally waiting for you,waiting,ENG
Khana kha liya I was literally waiting for you,for,ENG
Khana kha liya I was literally waiting for you,you,ENG
Mujhe samajh nahi aa raha why this code is giving error,Mujhe,URD
Mujhe samajh nahi aa raha why this code is giving error,samajh,URD
Mujhe samajh nahi aa raha why this code is giving error,nahi,URD
Mujhe samajh nahi aa raha why this code is giving error,aa,URD
Mujhe samajh nahi aa raha why this code is giving error,raha,URD
Mujhe samajh nahi aa raha why this code is giving error,why,ENG
Mujhe samajh nahi aa raha why this code is giving error,this,ENG
Mujhe samajh nahi aa raha why this code is giving error,code,ENG
Mujhe samajh nahi aa raha why this code is giving error,is,ENG
Mujhe samajh nahi aa raha why this code is giving error,giving,ENG
Mujhe samajh nahi aa raha why this code is giving error,error,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,Mera,URD
Mera assignment complete ho gaya hai I will submit it tomorrow,assignment,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,complete,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,ho,URD
Mera assignment complete ho gaya hai I will submit it tomorrow,gaya,URD
Mera assignment complete ho gaya hai I will submit it tomorrow,hai,URD
Mera assignment complete ho gaya hai I will submit it tomorrow,I,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,will,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,submit,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,it,ENG
Mera assignment complete ho gaya hai I will submit it tomorrow,tomorrow,ENG
Kal subah early morning class hai so I need to sleep early,Kal,URD
Kal subah early morning class hai so I need to sleep early,subah,URD
Kal subah early morning class hai so I need to sleep early,early,ENG
Kal subah early morning class hai so I need to sleep early,morning,ENG
Kal subah early morning class hai so I need to sleep early,class,ENG
Kal subah early morning class hai so I need to sleep early,hai,URD
Kal subah early morning class hai so I need to sleep early,so,ENG
Kal subah early morning class hai so I need to sleep early,I,ENG
Kal subah early morning class hai so I need to sleep early,need,ENG
Kal subah early morning class hai so I need to sleep early,to,ENG
Kal subah early morning class hai so I need to sleep early,sleep,ENG
Kal subah early morning class hai so I need to sleep early,early,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,Project,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,deadline,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,is,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,approaching,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,fast,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,aur,URD
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,humne,URD
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,abhi,URD
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,tak,URD
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,start,ENG
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,bhi,URD
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,nahi,URD
Project deadline is approaching fast aur humne abhi tak start bhi nahi kiya,kiya,URD
Professor is very strict late submission accept nahi karenge,Professor,ENG
Professor is very strict late submission accept nahi karenge,is,ENG
Professor is very strict late submission accept nahi karenge,very,ENG
Professor is very strict late submission accept nahi karenge,strict,ENG
Professor is very strict late submission accept nahi karenge,late,ENG
Professor is very strict late submission accept nahi karenge,submission,ENG
Professor is very strict late submission accept nahi karenge,accept,ENG
Professor is very strict late submission accept nahi karenge,nahi,URD
Professor is very strict late submission accept nahi karenge,karenge,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,Group,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,project,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,mein,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,koi,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,kaam,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,nahi,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,kar,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,raha,URD
Group project mein koi kaam nahi kar raha I have to do everything myself,I,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,have,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,to,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,do,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,everything,ENG
Group project mein koi kaam nahi kar raha I have to do everything myself,myself,ENG
Mera laptop crash ho gaya lost all my unsaved files,Mera,URD
Mera laptop crash ho gaya lost all my unsaved files,laptop,ENG
Mera laptop crash ho gaya lost all my unsaved files,crash,ENG
Mera laptop crash ho gaya lost all my unsaved files,ho,URD
Mera laptop crash ho gaya lost all my unsaved files,gaya,URD
